videoId,viewsSubscriberRatio,title
SfkvbeBJIO4,0.2472926829268292,"Samsung Galaxy S22 Ultra - Yes, They Are FINALLY Doing It"
xAkiaUefafk,0.0951391666666666,"iOS 15 Beta 4 Follow-Up - Additional Features, Performance, Battery Life & More"
Tvk3nL1jflE,0.095963436928702,5 VERY Useful Mac Apps You Should Check Out (February 2021)
csGdz5_gZiY,1.3942326530612246,Should You Buy a ROBOT Vacuum Cleaner? (Roomba 980 Review) | The Tech Chap
5mnDk3khPEw,0.3893939393939394,The Most British Toaster in America - Dualit Toaster Review!
6UzGPQOYONk,0.4117803571428571,Why Nintendo Switch is the most innovative game console in years
mqppAEK0t_8,0.2114708994708994,Is Samsung about to take over?
nGIpdiQrFDU,0.089370127388535,AI is a Lie.
7LFjwsxbdD0,0.0773436426116838,Bose SoundLink Revolve+ Review: The Best Bluetooth Speaker You Can Buy!
jMTSIhXcg9Y,0.5560073937153419,"Apple Vision Pro, Looks Real But Does It Feel Real? (game physics)"
SRnT7uNz7Dg,0.0268072463768115,LG gram 2017 Unboxing (13Z970)
gZ7zpu2qZ0E,2.7215609756097563,8 Reasons Why You NEED an Apple Watch in 2023!
RrwpZwAhEOU,0.1559195612431444,iPhone 15 Event in 6 Minutes!
_N2YLDWS2Xc,0.1490074074074074,Samsung S10 Lite & Note 10 Lite – The Confusing Truth.
EORRoUOEM6s,0.0198231578947368,3 Disturbingly Good Features of the AirPods Pro 2
DVfB_0s470I,0.0998546448087431,Keyboards Should Have Been Like This
1CBhJChR8Vc,0.2667368421052631,Galaxy Note 10+ : Brand NEW Features (One UI 2.1 Update)
8qduQmTW-k8,0.0329881235154394,Reawul Oversized RGB Mouse Pad Under $30
D7WBAUa5Q_o,0.106666369047619,"Microsoft Surface 2021 event: Pro 8, Duo 2, Laptop Studio, and more"
7jse0Aizft0,0.3418753846153846,Apple Watch SE Tips Tricks & Hidden Features | YOU MUST SEE !! Gen 2
U_Hdbj0KfI0,0.0961452631578947,Samsung Galaxy A7 (2017) vs Galaxy C9 Pro
fsABej0sO40,0.02816,5 Awesome NEW Homescreen Themes - Jan 2020
1_Vhn95IW58,0.2157013574660633,Apple HomePod (Gen 2) - Worth Getting Two for Stereo Pair?
XSYJoWB7GU0,0.8434418604651163,Apple Watch VERY HELPFUL Tips & Tricks
9-CXXgZiO-E,0.0828865979381443,Secret iOS 14 Features Review: What Apple DIDN'T Tell You!
fwrJSKz3jAk,0.011738947368421,Samsung Galaxy Mega 6.3 Review
782-pcz9hIg,0.01816,Samsung Galaxy A51 Review- A Good Looking Mid-Ranger (2020)
8s3ggOqH-SA,0.023243961352657,BLUBOO S1 & S8 - $150 Bezel-less Smartphones!
mqH6YLwcG00,0.3598308823529412,The Perfect 2022 iPad Pro
mhy5oNlq_Jc,0.1049494736842105,3 Superpowers your Galaxy S10/S10+ Needs
R5cYfRAG41M,0.1119326923076923,Aqara G4 Video Doorbell! The ONLY Wireless HomeKit Secure Video Doorbell! Full Review!
EI7JM05NUHo,0.1707361963190184,"The ""Turbo, Turbo 6 FM/MP3 Music Player"" Speaker."
HzieL6ZSOXw,0.2946573913043478,Google Pixel 6 Pro Review | One Month Later...
ANyAW_Gw3oM,3.0986290322580645,visionOS 2 - Top New Features on Vision Pro
hH1IbNGgX6g,6.156451612903226,Checking Out 9 New Apps for Vision Pro
c2N3_57yY9k,0.3040628571428571,Almost Too Good To Be True - NEW Nothing Ear(a)
9sdwaf76D_Y,0.1624353968253968,I quit my job to play with smartphones.
VRg8C5CQWdc,0.1041377672209026,iPad Air 4 (2020) Unboxing & Review: An Interesting Alternative!
eTzDrCZtOgI,0.0581116666666666,iOS 15.1 Beta 3 Released - What's New?
OB-u-D28Uag,0.9989913544668588,Samson Go Mic vs Samson Meteorite: BEST Budget Mic?
lFRVnelKdhc,1.7478743068391869,Re-Building Home Office In Apple Vision Pro
O2Lm3oJPf3U,0.0741975,iOS 14.5 Beta 2 - 2 Weeks Later Review
nqSbQf3Gcm4,0.3606131147540983,Vizio M-Series 5.1 Sound Bar Review (M51a-H6) | How is it this good?
IlPmj2inVTg,0.0901993127147766,Apple AirPods 3 Review: Almost Pro!
6TfI7Z2L7Xw,0.5542409574468085,Microsoft made Windows 11 EVEN WORSE…
Ww5ZwvPs4qU,0.039315934065934,Apple TV 4K Review - Packing some serious A10X CPU Heat!
k03N8cbKAdY,0.009430894308943,The Must Have FCPX Titles & Transitions Pack!
b69jFGBaAok,0.0250791666666666,The History of iOS 14
zoGTTQMmBwg,1.2930441176470588,Top 5 Best iPhone 6s/6s Plus & iPhone 6/6 Plus Accessories
mxSTHimdNok,4.807388736263737,Everything 'Apple Pencil 2' - Full Guide
0_O4JraXFbI,0.0621106557377049,When and how to score the best TV deal
PqLuzFxiDRE,0.2985795724465558,Beats Fit Pro Review After 6 Months - Better Than Airpods Pro!
-jtgPHuoqOc,0.030498947368421,Try these 7 Camera Tips for your Galaxy S20 | Note 10+
Z6HeyTldraw,0.2950652920962199,Apple introduces iBooks Textbooks
wmdjIhw1MqE,0.5908172131147541,Should you spend more for a Sony TV? Why Sony TVs cost more
dpt-jt5XpKc,0.1274839416058394,"Biggest Self-Own in Quantum Computing, Ever"
d3CriRgMy7g,0.03246,"iOS 15.2 Beta Follow-Up - Changes, Bug Fixes, Performance, Battery Life"
vax8FCuQUsE,0.1415503684210526,Galaxy S22 Impressions: 1 Real Downgrade!
tAK8da2v8sU,0.2136952380952381,Apple Watch Series 7 review: watch before you upgrade
xhwG-7rOHXY,0.1896487985212569,Apps Like This Should P*ss You Off!
