videoId,viewsSubscriberRatio_zscore,title
9kxTOxDGLqs,-0.11449286633178991,Galaxy S23 / Ultra Impressions: Cruise Control!
vax8FCuQUsE,-0.14908567335878645,Galaxy S22 Impressions: 1 Real Downgrade!
dRtqFjYYUY0,-0.15588313233948461,The In-Glass Fingerprint Reader: Explained!
KftNp6hdO5g,-0.1317971850364451,Apple AirPods Review: Fully Wireless!
nDy32xoXM4o,-0.05811378421999891,iPad Air 2020: The Real iPad Pro Killer!
lj7kFBz-jw4,-0.03227622984890136,Apple Card Unboxing & Impressions!
JdTBIHX-r0M,-0.11770911356351298,PowerBeats Pro Review: Better than AirPods!
C6Ni9rH6VmA,-0.039104648770010256,The New iPad is Weird!
wUBy2W1iKpo,-0.155800579369215,"Samsung Galaxy S21 Impressions: New Year, New Price!"
1TCuf_Qcfv8,-0.12727163326751179,"15"" MacBook Air M2 Review: The Obvious Thing!"
T-UhbAcZd3I,-0.07929246532111348,iPad Mini 2021 Review: Pocketable Power!
6E9cdgMvQT0,-0.12353807470124269,Nothing Ear(1) Review: Transparent Buds!
UsD87v8F914,-0.11903826791604642,Google Pixel 6A Review: Can You Feel It?
I65jo06QinI,-0.130832727238963,Sony WH1000XM3 Review: A New ANC King!
pwHNannxolo,-0.07040591118690795,iPad Air M1 Review: Don't Choose Wrong!
DFgYGBtJLnI,-0.14672010305166447,The iPad's Odd New Feature
zHAB4qDsgKY,-0.055939415249261715,Why Everyone is Copying AirPods: Explained!
CkoquiSnqbk,-0.13092614298459646,Ford F150 Lightning is the iPhone of Pickup Trucks!
OoY7zp8GkLI,-0.010621957066630478,iPhone 11 Review: Too Easy!
d7y9z7pjCRM,-0.13098979431348345,The Hyundai IONIQ 5: I Get It Now!
kvN5_GXlg2Y,-0.13725804856042323,Apple's Forbidden Words
QZgIArBFmmE,-0.13805851349112253,Samsung Galaxy Buds Plus: The Go-To!
koPg_DZUfOc,-0.08289513465861553,2020 MacBook Air Impressions: A Clean Refresh!
VaSstf9VJGQ,-0.09250180628828664,Windows 11 Reactions: It Runs Android Apps! (Kinda)
Btr8uOU0BkI,-0.1612604534942985,The Problem with Phone Cases!
y5DyEYuvF3o,-0.15420185504285228,Audio Technica ATH-M50X Review!
dPL1-8ypnEs,-0.15019260459709347,Apple Watch Review!
4SHlY9AoXzc,-0.15725388267054588,OnePlus 10T Impressions: Somebody That You Used to Know
ldadR6XqiWE,-0.1341561387384593,Galaxy S22 Ultra Impressions: It's a Note!
ygMHYJEtk2c,-0.18700508681920988,Nest Cam IQ: Security Camera + 4k Sensor?
gkmzDwgvqQM,-0.1393863692576068,This Smartphone is Built Different...
bInJjmH31Hk,-0.08088304771907252,Sony WH-1000XM4 Review: The Final Form!
HN-WH7C4K0Q,-0.12198356413798321,Here's the Thing about the M3 Macbook Air...
cG8PXdTlDag,-0.05115088949912993,AirPods Pro Review: Imperfectly Perfect!
wGKb3oUo8go,-0.11706878696640288,"Why iPhone's Features are Always ""Late"""
dP5Au3tH448,-0.13957913714224135,Talking Tech with Kobe Bryant!
LRJPk9BmJY4,-0.13813480026839292,Google Pixel 7A Review: New Price!
zhoTX0RRXPQ,-0.07263475893428002,The Galaxy S23 Ultra is Better Than You Think!
Kl0E8p2IBmw,-0.10737247167438405,"The 2020 13"" MacBook Pro Impressions: Wait a Minute!"
I49VNQ6lmKk,-0.12914134982861478,Some Quick Advice from Barack Obama!
LcI6F_GPwfE,-0.1052524371929429,AirPods 3 Review: Easy Mode!
DAxj9CjczXw,-0.13752409380069044,Bose QC35: Best Noise Cancelling Headphones?
-T0MGehwWvE,-0.0786577659302165,M4 iPad Pro Impressions: Well This is Awkward
MiTG1ride7s,-0.14132853867526352,I Gave the Pixel Another Chance...
NE5H5intsck,-0.10488287609332637,Google Pixel 7/Pro Review: Hard Problems? Software Answers!
PHcDrXeyguM,-0.12476406360653529,5 Weird iPad Pro (M4) Decisions
TA8JprZlDYA,-0.15464875415606472,2015 Macbook Review!
dlHnleQU9tQ,-0.08200533525272309,Google Pixel 4a Review: Simple and Clean!
aXfiyuUziY0,-0.00043275622527644037,iPhone SE (2020) Review: It All Adds Up!
wR-0knMVSGw,-0.14649499419066206,The Rivian R1S Is... The Best SUV Ever?
48WukP7dR9U,0.24045689204163717,Why I bought the iPad 10 (and NOT the M2 iPad Pro)
9UMXWGk_jRE,0.03181168107046788,I REFUSE to review the M2 iPad Pro!! (hear me out…)
hTFosa7CfeU,-0.07521842688155254,NEW M2 iPad Pro in 3...2...1!!!
wMpSIANRyUM,-0.02624341989252972,M2 iPad Pro - should you WAIT or buy the M1 iPad Pro NOW!?
mBdSq6QL2cg,-0.03671801346460187,M3 MAX MacBook Pro 3 Months later… MAXED OUT! (but was it worth it?)
H-dvkLK651A,-0.01827485076054485,Ray-Ban Meta Smart Glasses just got WAY Smarter!!
nEmZAJipiE8,-0.12011180598848198,The best iPad Pro is the iPad Air!
godb_npcLG8,0.11955196584815793,NOW is a great time to buy the iPad Mini 6!
Ct6U3ksEyoo,-0.015617151851184017,Do NOT buy the iPhone 12 Pro!!! | iPhone 12 Black Review (24 hours later)
YuCaoj2_kFo,-0.01925507531570095,iPadOS15 - EVERYTHING you need to know!
0Kq_3QndYoU,0.5457232675361716,M2 Macbook Air - Is it better to upgrade to 16GB RAM or 512GB storage?
01ymIshGUjw,-0.16251953483776385,New iPad Pro 2021 Magic Keyboard  - Confirmed (?)
N0rEVbqLnvg,-0.19375994791202264,iPad Pro Magic Keyboard review - should you buy it?
-wB66m-B1fw,1.0548401297343912,Base model M2 MacBook Air 9 months later - How did it hold up??
wwDXcfR67Yo,-0.19446851670131562,Decision time!! | iPhone 12 mini vs iPhone 12 vs iPhone 12 Pro Max
t7hEmFtINIw,-0.13159605349034537,"iPad Pro Magic Keyboard, 6 months later: Am I disappointed?"
Ja-C-nMrDx0,-0.028378181452604075,M1 iPad Pro still kills it in 2023! Here’s why 🔥
VwbQXWYIjtg,-0.18736245462594617,Watch BEFORE buying the Apple MAGSAFE Battery pack! - Which iPhone battery pack should I get?
kki-5SKUnRI,-0.188636972927454,M2 MacBook Pro AND M2 Mac Mini! (M2 Pro - M2 Max chips!)
0sVBWObuhB4,-0.12525968275158808,I got the M2 Pro Mac Mini -  but should YOU??
i_jHQZ3yS00,-0.12630102985406338,M2 Macbook Air 2022 - don't choose WRONG!
LsFquvfp1h8,-0.15832018945712978,The best ECOSYSTEM for your Apple iPad Pro! 2022
wNxeQQ-blt0,-0.16509120942126806,10 Best iPad (Pro) Apps for Students
8BhrbtqygeM,-0.07834020439092955,How to make the M1 iPad Pro EVEN BETTER!! - Best iPad Pro Accessories 2021
BNHCgiCisVE,-0.11042954173351058,Apple Fanboy Builds Gaming PC (and Setup)!
ij7JwdU9WPs,-0.14778220953968957,Airpods Pro 2 review - I was WRONG!! (p.s. you were right)
1-qMMq59Ht4,0.13529894507602344,iSwitched! - Apple Fanboy Switches to Samsung Galaxy Z Fold 5
sbOEgq6tuz4,-0.1926325764836907,What's in my tech bag 2021 | Every day carry
ZW6_Gq4N5mM,-0.18609020012248723,M1 MAX MacBook Pro - these accessories will blow your mind!!
QoHFRXGlRYg,0.19303032291803413,The Ultimate Solution to Expensive Apple Storage! - UGREEN NAS
o91NG8rKV8s,-0.09420716491538464,Final Cut Pro on the iPad Pro 2021?
w1dBQWOxYUU,-0.13920467873256157,iPad Mini 6 - 5 Reasons YOU should buy it!
BmYJXIzX3Mg,-0.18453044326682316,How to apply the Paperlike 2 screen protector  -  Instructions / review
2cktF9wqHpc,-0.19459528939205176,ULTIMATE storage solution - Why you need a NAS drive!
BE0WZivC1zg,-0.049619398545051194,The iPad is Finally PRO Again! - iPadOS 16 New Features Hands On!
THYenojUYPc,-0.17471008733087137,Will the iPad FINALLY go PRO?!! - WWDC 2022 Last minute rumors!
uddEPBgfXAE,-0.1904344285782483,New Macbook Pro? Get these apps first!! (Best apps for Mac 2020)
-FiZ5I79Ctg,-0.019411277381072265,BEST backup and storage for Mac 2022!!
Er969XgwL84,-0.17772546633195202,"Apple Watch SE Review (Tips, Tricks & Apps)"
efGNNzLpH-Q,-0.19489637453255002,iPad Air 5 - BEAUTIFUL lightweight!
PlWhJ8_7fak,-0.08518819348872902,iPad Mini 6 - WOW!!! (first impressions)
dq8FZoxOTEg,-0.15849450190689196,iPad Pro 2021 - Update!!!
hJo45AorNWc,-0.1798398537095866,Best Must Have Apps for iPad (Pro) 2020 - July Edition!
3deOmXehOZM,-0.18609020012248723,M1 iPad Pro 2021 vs iPad Pro 2020 - ULTIMATE speed test
jMos0z1aQ4I,-0.19765820815215843,I BROKE my MAGSAFE charger!!! |How strong is the magnet on the iPhone 12 Magsafe Charger?
MsVPWe3g8Zg,-0.19639274504284604,No M2 Macbook Pro in 2022!!
87arVLSdchM,-0.2017217256498609,A YouTuber's iOS 14 homescreen setup
W0XlK16FNWU,0.04592193430900813,15 Pro Max vs Z Fold 5 - BATTLE of the heavyweights! 🥊
F3FuG1ve__0,-0.17931691636030012,iPhone Magsafe Ecosystem!!  - ESR Halolock
ndwqrpnxClA,-0.09800129044527288,"iPad Pro 2021   Delayed, but even better?!"
LxAotBm1dD4,-0.06710063017965574,iPhone 12 Pro Max - Many Months Later...
utFV_VaZulE,-0.15173455124938967,AirPods 2 vs Galaxy Buds 2019 - ULTIMATE Wireless Earbuds Comparison
f0_nnBYN06U,-0.03075325516290917,iPhone 7 Plus - 10 Months Later!
v4bC8wTIVW4,-0.16238218388482148,iPad Pro Review - After One Week!
S2MNeJ-jy0c,-0.06098850028953972,OnePlus 7 Pro - My Perfect Minimal Android Setup 2019!
vwWXwPJBnJA,1.1072662968489002,Apple's Biggest iPhone FAIL (Wasn't That Bad) - iPhone 5C 2018
S2QssMYFZno,-0.15319167149645618,ROUND APPLE WATCH!? (Aiwatch C5 Review)
7JMXgDJq5CY,-0.11871033189492528,BEST Starter & Budget Drone - DJI Phantom 3 Standard
W9V6MLhBn28,0.004269465083776902,iPhone 11 Review - Insamely Great.
YDs6rQ_URlI,-0.1039044351552166,The Galaxy Note 20 UItra DeX PC Setup!
RnbekTHzCxs,-0.07178299682339129,Galaxy Note 9 Review 2019 - Better than Galaxy S10 Plus?
zoGTTQMmBwg,0.3018819560206919,Top 5 Best iPhone 6s/6s Plus & iPhone 6/6 Plus Accessories
WJg2Z-r4paM,-0.08690997836062546,Every iPhone Design - 10 Years of iPhone
KlPCPllI4PU,-0.14484202691865103,My Everyday Carry - Minimal EDC Tech 2019
fTqRjgqKeoM,0.12341208275572778,iPad Pro Apps - The Best Of The Best For iPadOS
IglrYoOrp4E,0.9503119847024295,Budget $200 Laptop For College Students! (2017)
rxo5WDMeyHg,-0.18129307056957625,Can Smartphones Replace Computers? (Short Film)
WFWAZmB38qE,-0.1686138206726712,LG G6 Review - A Galaxy S8 KILLER?!
-sDYy8j0mnA,-0.1861194214274488,iPhone 6s Review - Rose Gold (Shot on iPhone 6s Plus In 4K)
deF1R8l-42c,-0.13642614960234284,How Long Does The Apple Watch Battery Last? Real World Apple Watch Battery Life Test
m_kezesFOVI,-0.18284378055583186,Moto G4 Plus Review! (Moto G Plus)
rCNsg0c0hWo,-0.10185985931447107,iPhone 12 Pro Max Review - More Is More?
bM5e5Wmr5mo,0.05770200695002097,iPad Air 2020 Review - The iPad Kinda Pro
yo2vZCnypeE,-0.028770592534242547,OnePlus 6 - Making My PERFECT Android Phone!
bnWy-O6bZIk,-0.15819080341129313,Casetify Custom Case: Unboxing & Review
dmzls4D-Uhc,-0.01023118512196129,iPad Pro vs MacBook Air - Surprising Results...
mqH6YLwcG00,-0.06359893409184365,The Perfect 2022 iPad Pro
MO0nJ5fZv3o,-0.1399336050587204,BlackBerry KEY2 - The Keyboard King Is BACK! - Hands On Review
386sZZbzEc4,-0.14920474860700242,First iPhone: 10 Years Later! (Original iPhone/iPhone 2G)
juoKOiz-qzs,-0.06395601494290346,iPad Pro Magic Keyboard 2020 - Two Months of Magic!
c1rGJEksrDc,-0.16733092132471047,Jabra Elite Sport - BEST Fully Wireless Earbuds Yet!
VsQKgJeJN3U,-0.14259731302025508,"iPad Air 2019 10.5"" Review - The iPad Pro On A Budget"
OldtEujkUnY,-0.022811085911111775,Galaxy S20 FE Review - It's Worth it.
7jmfOUcOFZY,-0.15638524136601506,Sennheiser HD 630VB Headphones Review - Adjustable Bass?!
vkc1VhEDE6c,0.3315484635014812,Everyday Carry 2018 - My College Student Tech EDC
tEIA7wnCG9w,-0.1791621042003485,Apple iMac Changed My Life
-qzLDwLWqqs,0.17514849057943788,Google Nexus 6: Size Comparison - To Other Smartphones (Mockup)
vYuSWXoU2AQ,1.359502162700537,iPhone 6s vs The Original iPhone (The First iPhone/iPhone 2G)
TVGtNz9AjHU,-0.08259477146293928,Galaxy S8 - 4 Months Later - Note 8 or S8?
7Lj1j09_-rM,-0.08431106329545245,iPadOS 15 x iPad Pro M1 - Refined Evolution
69m2csQ1fy8,-0.11752102228615358,Galaxy S8 Plus vs iPhone 7 Plus - ULTIMATE Comparison!
jteNhhYEngg,-0.19316600886731403,Next Level Smartphone Camera!
FOyoxhvVvq0,-0.12410542039863898,Dell Skylake XPS 15 9550 Review: Best Windows Laptop? (4K/Infinity Edge)
g7lBKWABylU,-0.14991603062483924,iPhone 7 Plus: One Month Later - Review
q4dgHuWBv14,0.7227780506281382,iPad Pro 2018 Review - My Student Perspective
